crop,seed_cost_usd,fertilizer_cost_usd,labor_days,irrigation_needed,harvest_months,market_access
rice,30,90,80,TRUE,4,HIGH
maize,15,45,40,FALSE,4,HIGH
chickpea,20,20,30,FALSE,3,MEDIUM
cotton,40,110,120,FALSE,6,MEDIUM
coffee,60,140,100,TRUE,36,LOW
jute,35,95,90,FALSE,4,MEDIUM
kidneybeans,25,30,35,FALSE,3,HIGH
pigeonpeas,20,25,40,FALSE,5,MEDIUM
mothbeans,15,20,25,FALSE,3,MEDIUM
mungbean,18,25,30,FALSE,3,HIGH
blackgram,18,22,32,FALSE,3,MEDIUM
lentil,20,20,28,FALSE,3,HIGH
pomegranate,80,60,50,TRUE,24,LOW
banana,40,50,60,TRUE,12,MEDIUM
mango,70,55,45,TRUE,24,MEDIUM
grapes,100,70,90,TRUE,18,LOW
watermelon,10,30,35,TRUE,3,HIGH
muskmelon,12,32,38,TRUE,3,HIGH
apple,90,65,55,TRUE,36,LOW
papaya,25,40,40,TRUE,9,MEDIUM
coconut,50,45,50,TRUE,60,MEDIUM
orange,75,60,50,TRUE,24,MEDIUM
groundnuts,18,25,35,FALSE,4,HIGH
